id,img,label,text,llava_rewrite,rewrite_clean,toxicity_before,toxicity_after,toxicity_reduction,semantic_similarity
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"Tattoos are bad for your health, I know. 5 million people that had tattoos and they all died.","Tattoos are bad for your health, I know. 5 million people that had tattoos and they all died.",0.18272972106933594,0.2635522782802582,-0.08082255721092224,0.9744916
79351,img/79351.png,1,jew mad? get fuhrerious!,"You're a content safety editor for internet memes.
Your job is to rewrite short meme text and generate new images so that the new meme is safe and non offensive while keeping","You're a content safety editor for internet memes.
Your job is to rewrite short meme text and generate new images so that the new meme is safe and non offensive while keeping",0.9516199827194214,0.003107167314738035,0.9485128154046834,0.120300665
97180,img/97180.png,1,if there is no race it can't be homicide,"If there is no race, it can't be homicide.","If there is no race, it can't be homicide.",0.0019962263759225607,0.0007489391718991101,0.0012472872040234506,0.9908467
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"When you return from a long day of dealing with a suicide bombinb, your spouse presents you with this facial expression.","When you return from a long day of dealing with a suicide bombinb, your spouse presents you with this facial expression.",0.8193967938423157,0.07813548296689987,0.7412613108754158,0.73608845
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,D.J. Osama spin laden droppin' beats like twin towers.,D.J. Osama spin laden droppin' beats like twin towers.,0.0024324003607034683,0.0014754272997379303,0.000956973060965538,0.9896928
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"We said we would never forget, why are you voting them into our government?","We said we would never forget, why are you voting them into our government?",0.0007033062283881009,0.0007317595882341266,-2.8453359846025705e-05,0.976399
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"You had my curiosity, but now you have my attention.","You had my curiosity, but now you have my attention.",0.6846367120742798,0.0009703171090222895,0.6836663949652575,0.41950187
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"I'm tired of politics, so here's a picture of Michelle Obama riding a horse.","I'm tired of politics, so here's a picture of Michelle Obama riding a horse.",0.08447495847940445,0.0013469438999891281,0.08312801457941532,0.86708677
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","Relax, Mexican friends. You're not rapists, drug lords or criminals. You're just friends and family enjoying a meal together. Let's unwind and","Relax, Mexican friends. You're not rapists, drug lords or criminals. You're just friends and family enjoying a meal together. Let's unwind and",0.9742283821105957,0.24056623876094818,0.7336621433496475,0.6667421
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,When you accidentally shoot a black kid but end up killing a squirrel.,When you accidentally shoot a black kid but end up killing a squirrel.,0.7268826961517334,0.8316131234169006,-0.10473042726516724,0.9002065
